region,codePostal,ville
Namur,5300,Andenne
Namur,5680,Doische
Namur,5590,Ciney
Luxembourg,6723,Habay
Luxembourg,6851,Paliseul
Brabant flamand,1970,Wezembeek-Oppem
Liège,4263,Braives
Liège,4610,Beyne-Heusay
Liège,4190,Ferrières
Liège,4800,Verviers
Liège,4260,Braives
Hainaut,7503,Tournai
Hainaut,6534,Thuin
Hainaut,7031,Mons
Hainaut,7333,Saint-Ghislain
Hainaut,6596,Momignies
Hainaut,6463,Chimay
Hainaut,6594,Momignies
Hainaut,7030,Mons
Brabant wallon,1330,Rixensart
Brabant wallon,1476,Genappe
Namur,5640,Mettet
Namur,5575,Gedinne
Luxembourg,6671,Gouvy
Luxembourg,6698,Vielsalm
Luxembourg,6832,Bouillon
Luxembourg,6838,Bouillon
Luxembourg,6922,Wellin
Liège,4877,Olne
Liège,4450,Juprelle
Liège,4790,Burg-Reuland
Liège,4650,Herve
Liège,4100,Seraing
Hainaut,7610,Rumes
Hainaut,7131,Binche
Hainaut,7522,Tournai
Hainaut,6280,Gerpinnes
Hainaut,7322,Bernissart
Hainaut,7803,Ath
Hainaut,6543,Lobbes
Hainaut,7601,Péruwelz
Hainaut,6591,Momignies
Hainaut,6560,Erquelinnes
Brabant wallon,1340,Ottignies-Louvain-la-Neuve
Brabant wallon,1474,Genappe
Namur,5560,Houyet
Namur,5646,Mettet
Namur,5020,Namur
Namur,5573,Beauraing
Namur,5100,Namur
Luxembourg,6672,Gouvy
Luxembourg,6747,Saint-Léger
Luxembourg,6767,Rouvroy
Luxembourg,6813,Chiny
Luxembourg,6830,Bouillon
Luxembourg,6833,Bouillon
Luxembourg,6870,Saint-Hubert
Brabant flamand,1640,Rhode-Saint-Genèse
Flandre orientale,9600,Renaix
Liège,4607,Dalhem
Liège,4730,Raeren
Liège,4180,Hamoir
Liège,4351,Remicourt
Liège,4560,Clavier
Liège,4431,Ans
Liège,4780,Saint-Vith
Liège,4654,Herve
Hainaut,7784,Comines-Warneton
Hainaut,7624,Brunehaut
Hainaut,7712,Mouscron
Hainaut,7803,Ath
Hainaut,7301,Boussu
Hainaut,6592,Momignies
Brabant wallon,1404,Nivelles
Brabant wallon,1435,Mont-Saint-Guibert
Namur,5621,Florennes
Namur,5010,Namur
Namur,5503,Dinant
Namur,5543,Hastière
Namur,5336,Assesse
Luxembourg,6600,Bastogne
Luxembourg,6921,Wellin
Luxembourg,6941,Durbuy
Luxembourg,6951,Nassogne
Luxembourg,6960,Manhay
Liège,4860,Pepinster
Liège,4367,Crisnée
Liège,4102,Seraing
Liège,4160,Anthisnes
Liège,4721,La Calamine
Liège,4711,Lontzen
Liège,4672,Blegny
Liège,4890,Thimister-Clermont
Liège,4042,Herstal
Liège,4600,Visé
Hainaut,6060,Charleroi
Hainaut,6099,Fleurus
Hainaut,7050,Jurbise
Hainaut,7904,Leuze-en-Hainaut
Brabant wallon,1300,Wavre
Namur,5574,Beauraing
Namur,5081,La Bruyère
Luxembourg,6741,Étalle
Luxembourg,6800,Libramont-Chevigny
Luxembourg,6820,Florenville
Luxembourg,6953,Nassogne
Liège,4400,Flémalle
Liège,4602,Visé
Liège,4682,Oupeye
Liège,4837,Baelen
